registration_number,registry_name,foi_name,match_score,postcode_areas,postcode_count,cities,geographic_reach
PF000211,FIRSTPORT PROPERTY SERVICES NO.17 LIMITED,SG Property Management Ltd,100,"DD11,DD3,DD6,DD7,DG2,EH12,EH16,EH19,EH21,EH22,EH23,EH29,EH30,EH41,EH48,EH52,EH53,EH6,FK2,FK5,FK7,FK8,G11,G13,G14,G23,G31,G32,G33,G4,G41,G43,G53,G61,G64,G65,G66,G67,G68,G69,G71,G72,G73,G75,G77,G78,G81,G82,G84,KA11,KA13,KA20,KA21,KA29,KA3,KA7,KA9,KY11,KY12,KY16,KY3,KY4,KY7,ML1,ML10,ML11,ML3,ML4,ML6,ML8,ML9,PA1,PA11,PA15,PA2,PA23,PA3,PA5,PH3",79,,national
PF000175,Shafaatulla Property Management Limited,Shafaatulla Property Management Limited,100.0,"G3,G41,G42,G51",4,,local
PF000226,Shettleston Housing Association Limited,Shettleston Housing Association Limited,100.0,"G31,G32",2,Glasgow,local
PF000373,Shire Housing Association Limited,Shire Housing Association Limited,100.0,"KA18,KA3,KA5,KA6",4,"Cumnock,Dalmellington,Logan,Mauchline,New Cumnock,Patna",local
PF000306,Simple Approach Letting Agents Ltd,Simple Approach Letting Agents Ltd,100.0,"PH1,PH2",2,,local
PF000531,Simply Factors Limited,Simply Factors Limited,100.0,"DD4,EH10,EH15,EH31,EH7,FK2,FK8",7,"Aberdeen,Dunbar,Dundee,Edinbugh,Edinburgh,Falkirk,Gullane,Stirling",regional
PF000184,South Lanarkshire Council,South Lanarkshire Council,100.0,"G71,G72,G73,G74,G75,ML3,ML9",7,,regional
PF000323,Southside Lettings,Southside Lettings,100.0,"G41,G42,G43,G44,G51,G52",6,,regional
PF000568,SouthSide Property Factors Ltd,SouthSide Property Factors Ltd,100.0,EH9,1,,local
PF000160,Speirs Gumley Property Management Limited,Speirs Gumley Property Management Limited,100.0,"DD1,DD2,EH11,EH12,EH14,EH16,EH19,EH22,EH29,EH3,EH30,EH34,EH4,EH40,EH41,EH42,EH44,EH48,EH52,EH53,EH54,EH6,EH7,EH9,FK10,FK2,FK5,FK6,FK8,G1,G11,G12,G13,G15,G2,G20,G21,G22,G23,G3,G31,G32,G33,G4,G40,G41,G42,G43,G44,G45,G46,G5,G51,G52,G53,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G71,G72,G73,G74,G75,G76,G77,G78,G81,G82,G83,G84,GG1,GG3,KA1,KA10,KA11,KA18,KA19,KA22,KA23,KA26,KA3,KA30,KA5,KA6,KA7,KA8,KA9,KY11,LA10,M,M11,ML1,ML10,ML11,ML2,ML3,ML4,ML5,ML6,ML8,ML9,PA1,PA10,PA11,PA15,PA16,PA18,PA2,PA3,PA4,PA5,PA6",119,,national
PF000273,Spire View Housing Association Limited,Spire View Housing Association Limited,100.0,G21,1,,local
PF000493,Taylor Martin Property Management Ltd,Taylor Martin Property Management Ltd,100.0,"DD1,DD2,DD3,DD4,DD5,EH1,EH10,EH11,EH12,EH14,EH15,EH16,EH21,EH24,EH26,EH3,EH30,EH4,EH49,EH52,EH55,EH6,EH7,EH8,EH9,FK1,FK3,FK6,FK7,FK8,G1,G11,G12,G13,G14,G2,G20,G23,G3,G31,G33,G4,G41,G42,G43,G44,G46,G5,G51,G52,G61,G62,G63,G64,G66,G72,G73,G74,G75,G76,G77,G78,G83,G84,KA15,KA18,KA7,KA9,KY0,KY1,KY10,KY11,KY12,KY13,KY14,KY15,KY16,KY2,KY3,KY6,KY7,KY9,ML3,ML6,ML8,PA19,PA2,PA3,PH1,PH2",90,,national
PF001031,THA Park Ecovillage Findhorn Limited,THA Park Ecovillage Findhorn Limited,100.0,IV36,1,,local
PF000350,The City of Edinburgh Council,The City of Edinburgh Council,100.0,"EH11,EH14,EH15,EH16,EH17,EH3,EH4,EH6,EH7,EH8",10,,regional
PF000590,The Element Factors Ltd,The Element Factors Ltd,100.0,"EH4,EH51BF,EH51FD,EH6,EH66PA,EH66PB,EH66PF,EH66PG,EH66PN,EH66PT,EH66PZ",11,,regional
PF000793,The Estates Office Limited,The Estates Office Limited,100.0,"PA21,PA29,PA31,PA34,PA35,PA37,PA41,PA70,PA74",9,"Benderloch, Oban,Gallochoille Lochgilphead Argyll PA31 8PG,Isle of Lismore,Kilfinan Tighnabruich PA21 2ER,Oban,Pennyghael, Isle of Mull,Torloisk, Isle of Mull",regional
PF000973,The Factoring Company (Edinburgh) Ltd,The Factoring Company (Edinburgh) Ltd,100.0,"EH6,EH9",2,,local
PF000215,The Highland Council,The Highland Council,100.0,"IV1,IV10,IV11,IV12,IV14,IV15,IV16,IV17,IV18,IV19,IV2,IV20,IV21,IV25,IV26,IV27,IV3,IV4,IV40,IV41,IV49,IV51,IV52,IV54,IV55,IV6,IV7,KW1,KW10,KW12,KW14,KW3,KW8,KW9,PH21,PH22,PH26,PH32,PH33,PH36,PH41,PH49,PH50",43,,national
PF001073,THE PROPERTY FACTORING COMPANY LTD,THE PROPERTY FACTORING COMPANY LTD,100.0,AB24,1,,local
PF000984,THE TENEMENT COMPANY (SCOTLAND) LTD,THE TENEMENT COMPANY (SCOTLAND) LTD,100.0,"G11,G51",2,,local
PF001060,The Water Row Company Ltd,The Water Row Company Ltd,100.0,G51,1,,local
PF000268,Thenue Housing Association Limited,Thenue Housing Association Limited,100.0,"G1,G31,G33,G4,G40,G45",6,,regional
PF000243,Thomson & Company Property Management Services Ltd,Thomson & Company Property Management Services Ltd,100.0,"KA20,KA21,KA22,KA23,KA24,KA28,KA29,KA30,PA17",9,"Fairlie,LARGS",regional
PF000762,Thomsons UK Limited,Thomsons UK Limited,100.0,IV31,1,,local
PF000262,TLC Property Management Ltd,TLC Property Management Ltd,100.0,KA3,1,,local
PF000261,Tollcross Housing Association Limited,Tollcross Housing Association Limited,100.0,"G31,G32",2,,local
PF001084,Tomintoul and Glenlivet Development Trust,Tomintoul and Glenlivet Development Trust,100.0,AB37,1,,local
PF000543,Toner and McCartney LLP,Toner and McCartney LLP,100.0,"KA10,KA11,KA19,KA3,KA6,KA7,KA8,KA9",8,,regional
PF000751,Tornagrain Services Limited,Tornagrain Services Limited,100.0,"IB2,IV2",2,,local
PF001032,Touchstone Corporate Property Services Limited,Touchstone Corporate Property Services Limited,100.0,"AB21,EH1,EH12,EH13,EH14,EH15,EH16,EH17,EH21,EH22,EH25,EH30,EH32,EH39,EH4,EH41,EH51,EH53,EH54,EH6,EH7,EH8,FK2",23,,national
PF000857,Town Property Management Ltd,Town Property Management Ltd,100.0,"G11,G72,PA1",3,,local
PF000285,Trafalgar Housing Association Limited,Trafalgar Housing Association Limited,100.0,G81,1,Clydebank,local
PF000170,Trinity Factoring Services Ltd,Trinity Factoring Services Ltd,100.0,"AB10,AB11,AB15,AB21,AB22,AB23,AB24,AB25,AB30,AB31,AB35,AB51,DD1,DD3,DD5,DD6,DD7,EH1,EH10,EH11,EH12,EH14,EH15,EH16,EH17,EH19,EH21,EH22,EH24,EH25,EH26,EH28,EH3,EH30,EH31,EH32,EH33,EH39,EH4,EH41,EH42,EH45,EH48,EH5,EH51,EH52,EH54,EH6,EH7,EH8,EH9,FK15,FK7,FK9,G1,G2,G3,G5,G73,G75,IV12,KY1,KY10,KY11,KY12,KY16,KY2,KY6,KY8,PA11,PA13,PH2,PH3,PH7,TD5",75,"Auchterarder,Balerno,Bonnyrigg,Dunbar,Dundee,Dyce,Edinburgh,Glenrothes,Inverurie,Kirkcaldy,Laurencekirk,Livingston,Ratho,Rosewell,Roslin",national
PF000638,Troon Property Factoring Services Ltd,Troon Property Factoring Services Ltd,100.0,KA10,1,,local
PF000333,Trust Housing Association Ltd,Trust Housing Association Ltd,100.0,"G66,ML1,ML2",3,"Motherwell,Wishaw",local
PF001059,Tyninghame Gardens Ltd,Tyninghame Gardens Ltd,100.0,EH42,1,Dunbar,local
PF001061,Urban Property (Scotland) Ltd,Urban Property (Scotland) Ltd,100.0,FK1,1,Polmont FK2 0YF,local
PF000364,Viewpoint Housing Association Limited,Viewpoint Housing Association Limited,100.0,"EH10,EH9",2,,local
PF000659,Vista Properties and Development Ltd,Vista Properties and Development Ltd,100.0,DD8,1,,local
PF000164,Walker Sandford Property Management Limited,Walker Sandford Property Management Limited,100.0,"G1,G11,G12,G13,G14,G2,G20,G21,G3,G31,G32,G4,G40,G41,G42,G43,G44,G46,G5,G51,G53,G64,G66,G81,G82,G84,ML5,PA1,PA2,PA3,PA4",31,,national
PF000404,Wanrobe Investments Limited,Wanrobe Investments Limited,100.0,DD2,1,,local
PF000271,Waverley Housing,Waverley Housing,100.0,"TD1,TD5,TD7,TD8,TD9",5,"GALASHIELS,HAWICK,JEDBURGH,KELSO",regional
PF000457,Waverley Property Maintenance Ltd,Waverley Property Maintenance Limited,100.0,EH54,1,,local
PF000109,Wellhouse Housing Association Ltd,Wellhouse Housing Association Ltd,100.0,G33,1,Glasgow,local
PF000334,West Dunbartonshire Council,West Dunbartonshire Council,100.0,"G60,G81,G82,G83",4,,local
PF000933,West End Concept Ltd,West End Concept Ltd,100.0,IV12,1,,local
PF000101,West Highland Housing Association Ltd,West Highland Housing Association Ltd,100.0,"PA34,PA35,PA37,PA38,PA42,PA43,PA44,PA64,PA75",9,"Barcaldine,Benderloch,Bowmore,Kilmelford,Lochdon,Oban,Port Appin,Port Ellen,Taynuilt,Tobermory",regional
PF001153,West Homes Property Management Ltd,West Homes Property Management Ltd,100.0,G63,1,,local
PF000711,West Lothian Council,West Lothian Council,100.0,"EH27,EH47,EH48,EH49,EH52,EH54,EH55",7,,regional
PF000641,West One Property Management & Factoring Ltd,West One Property Management & Factoring Ltd,100.0,DD1,1,,local
PF000910,Westburn Services Ltd,Westburn Services Ltd,100.0,DD5,1,,local
PF001008,Westscot Living Limited,Westscot Living Limited,100.0,"G11,G12,G2,G21,G3,G31,G4,G40,G41,G51,G53,G65,G67,G71,G72,G73,KA10,KA12,KA6,KA7,KA8,KA9,ML10,ML11,ML3,ML5,ML6,ML8",28,,national
PF000378,Wheatley Homes East Limited,Wheatley Homes East Limited,100.0,"EH1,EH10,EH11,EH12,EH13,EH14,EH16,EH17,EH19,EH2,EH21,EH22,EH26,EH3,EH4,EH49,EH54,EH6,EH7,EH8,EH9",21,,national
PF000287,Wheatley Homes Glasgow Limited,Wheatley Homes Glasgow Limited,100.0,"G1,G11,G12,G13,G14,G15,G20,G21,G22,G23,G3,G31,G32,G33,G34,G4,G40,G41,G42,G43,G44,G45,G46,G5,G51,G52,G53,G54,G64,G69,G76",31,,national
PF000358,Wheatley Homes South Limited,Wheatley Homes South Limited,100.0,"DG1,DG10,DG11,DG12,DG13,DG16,DG2,DG3,DG4,DG5,DG6,DG7,DG8,DG9",14,,regional
PF000216,Williamsburgh Housing Association Ltd,Williamsburgh Housing Association Ltd,100.0,"PA1,PA3,PA4,PA5",4,,local
PF000097,WS Property Management Limited,WS Property Management Limited,100.0,"G11,G14",2,,local
PF000935,Xenia Estates Ltd,Xenia Estates Ltd,100.0,"G1,G2",2,,local
PF000335,Yoker Housing Association Ltd,Yoker Housing Association Ltd,100.0,G14,1,,local
PF000220,Yorkhill Housing Association Ltd,Yorkhill Housing Association Ltd,100.0,G3,1,,local
PF000409,Your Local Factor Limited,Your Local Factor Limited,100.0,"AB45,FK1,FK10,FK13,FK15,FK17,FK2,FK3,FK5,FK8,FK9,G42,PA1",13,,regional
PF000684,YourLife Management Services Limited,YourLife Management Services Limited,100.0,"AB15,EH4,G46",3,,local
