registration_number,name,trading_name,trading_type,address,city,postcode,website,property_count,status
PF000670,Alderglen Factor Association,Alderglen Factor Association,Other Legal Status,"30 Abercrombie Drive, Glasgow, G61 4RR",Glasgow,G61 4RR,,37,Registered
PF001133,Alex Mitchell Factoring,Alex Mitchell Factoring,Sole Trader,"9 Cottown of Balgownie, Aberdeen, AB23 8JQ",Aberdeen,AB23 8JQ,,0,Registered
PF000521,Alison Bruce Property Management Ltd,Alison Bruce Property Management Ltd,Company,"77 Macalpine Road, Dundee, DD3 8RE",Dundee,DD3 8RE,https://www.alisonbruceproperty.com,360,Registered
PF000470,Allied Souter & Jaffrey Limited,Allied Souter & Jaffrey Limited,Company,"Lyle House, Pavillion 1, Fairways Business Park, Inverness, IV2 6AA",Lyle House,IV2 6AA,,0,Registration expired on 30/09/2019
PF000134,Allsop Letting & Management,Allsop Letting & Management,Company,"Princes's House, 53-54 Queen's Road, Brighton, BN1 3XB",Princes's House,BN1 3XB,,0,Registration expired on 23/06/2016
PF000181,Almond Housing Association Limited,Almond Housing Association Limited,Registered Social Landlord,"New Almond House, 44 Etive Walk, Craigshill, Livingston, EH54 5AB",New Almond House,EH54 5AB,https://www.almondha.org.uk,176,Registered
PF000661,Amfactoring Limited,Amfactoring Limited,Company,"Unit 9 -11, RFL House, Anderson Street, Dunblane, FK15 9AJ",Anderson Street,FK15 9AJ,,0,Registration expired on 28/07/2022
PF000346,ANCHO Ltd,ANCHO Ltd,Registered Social Landlord,"Sovereign House, Academy Road, Irvine, KA12 8RL",Sovereign House,KA12 8RL,https://www.ancho.co.uk,472,Registered
PF000325,Anderson Banks,Anderson Banks,Sole Trader,"22 Argyll Square, Oban, PA34 4AT",Oban,PA34 4AT,,0,Registration expired on 02/11/2015
PF000380,Angus Council Housing Division,Angus Council Housing Division,Local Authority,"Angus House, Orchard Loan, Orchardbank, Forfar, DD8 1AN",Angus House,DD8 1AN,,0,Registration expired on 13/05/2022
PF001064,Angus Glen Properties Ltd,Angus Glen Properties Ltd,Company,"18 South Tay Street, Dundee, DD1 1PD",Dundee,DD1 1PD,https://www.angusglenproperties.com,0,Registered
PF000129,Angus Housing Association Limited,Angus Housing Association Limited,Registered Social Landlord,"93 High Street, Arbroath, DD11 1DP",Arbroath,DD11 1DP,https://www.angusha.org.uk,1495,Registered
PF000341,Annan Associates Limited,Annan Associates Limited,Company,"229 Portobello High Street, Edinburgh, EH15 2AN",Edinburgh,EH15 2AN,,0,Registration expired on 13/09/2017
PF001125,Annan Property Factors Limited,Annan Property Factors Limited,Company,"268 Portobello High Street, Edinburgh, EH15 2AT",Edinburgh,EH15 2AT,,0,Registered
PF000392,Anne Gordon,Anne Gordon,Sole Trader,"97 Milngavie Road, Glasgow, G61 2EL",Glasgow,G61 2EL,https://www.agpmscotland.co.uk,647,Registered
PF000377,Antonine Housing Association,Antonine Housing Association,Registered Social Landlord,"3 Cowgate, Kirkintilloch, Glasgow, G66 1HW",Kirkintilloch,G66 1HW,,0,Registration expired on 04/03/2019
PF000383,Apex Property Factor Limited,Apex Property Factor Limited,Company,"46 Eastside, Kirkintilloch, Kirkintilloch, G66 1QH",Kirkintilloch,G66 1QH,,0,Registration expired on 13/01/2020
PF000709,Aquila Management Services Limited,Aquila Management Services Limited,Company,"98 High Street, Airdrie, ML6 0DX",Airdrie,ML6 0DX,https://www.aquilams.com,0,Registered
PF001082,Aquila Management Services Property Factoring Ltd,Aquila Management Services Property Factoring Ltd,Company,"98 High Street, Airdrie, ML6 0DX",Airdrie,ML6 0DX,https://www.aquilams.com,686,Registered
PF000513,Archerfield House Hotel Management Limited,Archerfield House Hotel Management Limited,Company,"Archerfield Links, Golf Clubhouse, Golf Green, Dirleton, EH39 5HU",Archerfield Links,EH39 5HU,,103,Registered
PF000708,Arden Property Management LLP,Arden Property Management LLP,Other Legal Status,"43 Morningside Road, Edinburgh, EH10 4DR",Edinburgh,EH10 4DR,,0,Registration expired on 14/03/2023
PF000168,Ardenglen Housing Association Ltd,Ardenglen Housing Association Ltd,Registered Social Landlord,"355 Tormusk Road, Castlemilk, G45 0HF",Castlemilk,G45 0HF,https://www.ardenglen.co.uk,61,Registered
PF000302,Argyll Community Housing Association Limited,Argyll Community Housing Association Limited,Registered Social Landlord,"Menzies House, Glenshellach Business Park, Oban, PA34 4RY",Menzies House,PA34 4RY,https://www.acha.co.uk,7270,Registered
PF001070,Argyll Letting Services Limited,Argyll Letting Services Limited,Company,"64 John Street, Dunoon, PA23 8BJ",Dunoon,PA23 8BJ,https://www.argyll-letting.co.uk,12,Registered
PF000408,Arklet Housing Association Ltd,Arklet Housing Association Ltd,Registered Social Landlord,"Arklet Housing Association Ltd, Barrland Court, Barrland Drive, Giffnock, G46 7QD",Giffnock,G46 7QD,,0,Registration expired on 22/07/2022
PF000926,ASC Asset Management (EK) Ltd,MPM Property,Company,"29 Tennant Avenue, College Milton Industrial Park, East Kilbride, Glasgow, G74 5NA",East Kilbride,G74 5NA,https://www.mpmscotland.co.uk,70,Registered
PF000254,Aspect Residential Property Management Ltd,Aspect Residential Property Management Ltd,Company,"17/1 Silvermills Court, Henderson Place Lane, Edinburgh, EH3 5DG",Henderson Place Lane,EH3 5DG,,0,Registration expired on 08/12/2015
PF000745,ATB Accountancy Services Limited,ATB Accountancy Services Limited,Company,"125a Dalrymple Street, Dalrymple Street, Girvan, KA26 9BS",Dalrymple Street,KA26 9BS,,0,Registration expired on 16/10/2020
PF001120,Athene Associates,Athene Associates,Company,"37A Sidegate, Haddington, East Lothian, EH41 4BU",Haddington,EH41 4BU,https://www.atheneassociates.co.uk,0,Registered
PF000316,Atholls Ltd,Atholls Ltd,Company,"16 North Silver Street, Aberdeen, AB10 1RL",Aberdeen,AB10 1RL,,0,Registration expired on 08/04/2025
PF000189,Atrium Initiatives Limited,Atrium Initiatives Limited,Company,"Atrium House, 14 Central Avenue, Kilmarnock, KA1 4PS",Atrium House,KA1 4PS,https://www.choice-places.co.uk,2175,Registered
PF001144,Augusto Barale,The Honest Factor Company,Sole Trader,"2/1 54 Grierson Street, Glasgow, G33 2EN",Glasgow,G33 2EN,,0,Registered
PF000978,Avongreen Abodes Ltd,Avongreen Abodes Ltd,Company,"70 Carlisle Road, Hamilton, ML3 7TX",Hamilton,ML3 7TX,,5,Registered
PF000990,AWM CONSTRUCTION (SCOTLAND) LTD,AWM CONSTRUCTION (SCOTLAND) LTD,Company,"12 Newhouses Road, Burnside, Broxburn, EH52 5NZ",Burnside,EH52 5NZ,https://awm-construction.co.uk/,0,Registered
PF000260,Ayrshire Housing,Ayrshire Housing,Registered Social Landlord,"119 Main Street, Ayr, KA8 8BX",Ayr,KA8 8BX,https://www.ayrshirehousing.org.uk,949,Registered
PF000664,Ayrshire Letting and Sales Limited,Ayrshire Letting and Sales Limited,Company,"26 Ritchie St, West Kilbride, KA23 9AL",West Kilbride,KA23 9AL,,0,Registration expired on 14/01/2020
PF000141,B & B Estate Agents,B & B Estate Agents,Sole Trader,"16 Station Road, Dumbarton, G82 1QB",Dumbarton,G82 1QB,,0,Registration expired on 02/11/2015
PF000849,B.H.C Limited,BHC LTD,Company,"Medwyn Park, Carnwath, Lanark, ML11 8HS",Medwyn Park,ML11 8HS,,0,Registration expired on 21/02/2023
PF000218,BA Professional Advisory Services Limited,BA Professional Advisory Services Limited,Company,"3 Craigdoon House, 2 Dunure Road, Ayr, KA7 4HR",Ayr,KA7 4HR,,0,Registration expired on 02/12/2015
PF000414,Bailey Park Productions Limited,Bailey Park Productions Limited,Company,"213 Fenwick Road, Giffnock, Glasgow, G46 6JD",Giffnock,G46 6JD,,0,Registration expired on 18/03/2019
PF000949,Balmore Estates (Scotland) Ltd,Balmore Property Management,Company,"Abercorn House, 79 Renfrew Rd, Paisley, PA3 4DA",Abercorn House,PA3 4DA,,0,Registration expired on 08/04/2025
PF000969,Barrhead Housing Association Limited,Barrhead Housing Association Limited,Registered Social Landlord,"60-70 Main Street, Barrhead, G78 1SB",Barrhead,G78 1SB,https://barrheadha.org/,461,Registered
PF000435,Bastion Property Management Ltd,Bastion Property Management Ltd,Company,"33 Upper Craigs, Stirling, FK8 2DG",Stirling,FK8 2DG,https://www.bastionpropertymanagement.com,16,Registered
