registration_number,name,status
PF000225,Charing Cross Housing Association Ltd,Expired
PF000153,Charles White Limited,Active
PF001055,Chesnutt Skeoch Ltd,Active
PF000927,Christopher Moore,Active
PF000504,City Factoring Limited,Expired
PF000773,CKD Galbraith LLP,Expired
PF000604,Clackan Ltd,Expired
PF000327,Clackmannanshire Council,Expired
PF000455,Clackmannanshire Services Ltd,Expired
PF000317,Clan Gordon Ltd,Expired
PF001151,Clan Property Management Ltd,Active
PF000629,Clark Family Investments Ltd,Expired
PF000966,Cleodius Limited,Active
PF000132,Click-let Ltd,Expired
PF000171,Cloch Housing Association Ltd,Active
PF000576,Clune Park Estates Ltd,Expired
PF000657,Cluny Estate Agents Ltd,Expired
PF000808,Clyde Developments Ltd (Clyde Developments),Expired
PF000932,Clyde Property Ltd (Clyde Bespoke Property Management),Expired
PF000106,Clyde Valley Property Services Limited,Active
PF000231,Clydebank Housing Association Limited,Active
PF000354,Clydeport Properties Ltd,Active
PF000289,Clydesdale Housing Association Ltd,Active
PF000357,Coban 2017 LLP,Expired
PF000665,Colcro Property Maintenance Limited,Expired
PF000429,Collinswell Land Management Ltd,Expired
PF001079,Colonsay Community Development Company,Active
PF000403,Colvil Property Factors Ltd,Expired
PF001113,Communities Housing Trust,Active
PF000468,Connell & McFadden,Expired
PF000740,Contempo Property (Franchising) Ltd,Expired
PF000274,Copperworks Housing Association Ltd,Expired
PF000319,Cordale Housing Association Limited,Active
PF000478,Countrywide Residential Lettings,Expired
PF000652,Cowiesburn Asset Management LLP,Expired
PF001080,Cowiesburn Asset Management LLP,Active
PF000223,Craigdale Housing Association Ltd,Active
PF000297,CRM Students Limited,Expired
PF000460,CRUZ Property Management,Expired
PF000308,Cube Housing Association Ltd,Expired
PF000517,Cullen Property Limited,Active
PF000116,Cumbernauld Housing Partnership Limited,Expired
PF000976,Cumming Turner & Watt,Active
PF000210,Cunninghame Housing Association Limited,Active
PF000126,Cunninghame Properties Ltd,Expired
PF000326,Currie Property Management Ltd,Expired
PF000694,Cutler & Stag Ltd,Expired
PF001150,CVO Ltd,Active
PF000114,D & I Scott Property Management,Active
PF000336,D&R Lorne Brown t/a Allied Surveyors Scotland plc,Expired
PF000397,Dalmuir Park Housing Association Limited,Active
PF000722,Dalriada Property Services,Expired
PF000577,David Morris trading as 12BC Property Management,Expired
PF000514,David Morrison,Expired
PF000546,David Robin Wardhaugh,Active
PF000374,Davidson & Robertson Limited,Active
PF000734,Denise Baykal,Active
PF000554,Direct Lettings (Scotland) Ltd,Active
PF001015,DJM Property Services & Contracts Ltd,Active
PF000967,Donald Ross Morrison  (Morrison Property Management),Expired
PF000770,Donald Ross Residential Factoring Limited,Expired
PF000687,DONALD ROSS RESIDENTIAL KILMARNOCK LTD,Expired
PF000490,Douglas J Duncan Building Consultant,Expired
PF000718,Duffield Morgan Limited,Active
PF000131,Dumfries and Galloway Homes Limited,Active
PF000313,Dunbritton Housing Association Limited,Active
PF000176,Dundee City Council,Active
PF000372,Dunedin Canmore Enterprise Limited (Removed),Expired
PF000509,E D Construction Ltd,Expired
PF000382,East Ayrshire Council,Active
PF000375,East Dunbartonshire Council,Expired
PF000229,East Kilbride and District Housing Association Ltd,Active
PF000386,East Lothian Housing Association Ltd,Active
PF000598,East Lothian Property Management Ltd t/a ELPM,Expired
PF000343,East Renfrewshire Council,Active
PF000393,Easthall Park Housing Association Limited,Active
PF000915,Ebury Management Limited,Active
PF000823,Eddie Uriarte (Rozelle Letting Services),Expired
PF000725,Edinburgh Block Management Ltd,Active
PF000572,Edinburgh Commercial Property Limited,Expired
PF000571,Edinburgh Property Rental Limited,Expired
PF000796,Edwin Thompson LLP,Active
PF000159,Edzell Property Services LLP t/a Edzell Property,Expired
PF000525,effectiv Facilities Management Limited,Expired
PF000947,Eglinton Ashley Land and Property Management Ltd,Expired
PF000205,Eildon Housing Association Ltd,Active
PF000197,Elderpark Housing Association Limited,Active
PF000844,Empardio Limited,Active
PF000742,Errlwood Ltd,Expired
PF000930,Ethica Management Services Ltd (Ethica Property Management),Expired
PF000768,ETHICA PM LTD,Expired
PF000941,Ethical Factors Ltd (Ethical Factors),Expired
PF000158,Ethical Maintenance C.I.C,Active
PF000552,Etimon Limited,Expired
PF000582,Eunice Cameron T/A Orchard Arts and Antiques,Expired
PF000265,F G Burnett Ltd,Expired
PF000809,Facilities Management Scotland Limited,Active
PF000309,Factor4You,Expired
PF000654,Factor8 Ltd,Expired
PF001012,Factors Direct Limited,Active
PF000406,Factotum (Scotland) Ltd,Active
PF000310,Faifley Housing Association Limited,Expired
PF000352,Fair-A-Far Management Ltd,Expired
PF000574,fairpricefactorfees,Expired
PF000365,Falkirk Council,Active
PF000150,FBR Ltd,Expired
PF000832,FBR Seed Limited,Active
PF000315,FENWICK PROPERTY,Expired
PF000583,Fidra Lettings Ltd,Expired
PF000361,Fife Council,Active
PF000142,Fife Housing Association Limited,Active
PF000542,Finlayson Facilities Management Ltd,Expired
PF000904,Fior Asset and Property Limited,Active
PF000387,First Stop Properties Limited,Expired
PF000211,FIRSTPORT PROPERTY SERVICES NO.17 LIMITED,Active
PF000095,FirstPort Property Services Scotland Limited,Active
PF000789,FJL Property Management Ltd,Expired
PF001037,FLATM8 Ltd,Active
PF000511,Fleming House Factors Limited,Active
PF000578,Florance Kennedy T/A Edinburgh Stair Management,Expired
PF000963,Florence Adeline Ltd,Expired
PF000179,Forgewood Housing Co-operative Ltd,Active
PF000217,Forth Housing Association Ltd,Active
PF000798,FSHC Management Services (Galashiels) Limited  (FSHC),Expired
PF000155,Fyne Homes Ltd,Active
PF000400,G & A LETTINGS LIMITED,Expired
PF000322,G M Thomson & Co,Active
PF000324,G1 Property Management Ltd,Expired
PF000592,Gadloch Limited,Active
PF000678,Galbraith Pritchards,Expired
PF000523,Galloway & Ayrshire Properties Ltd,Expired
PF001024,Galloway and Ayrshire Properties Ltd,Active
PF000194,Gardeen Housing Association Limited,Active
PF000886,Gardiner Waters Limited,Active
PF001105,Garelochhead Minibuses and Coaches Ltd,Active
PF000178,Garrion People's Housing Co-operative Limited,Active
PF000269,"George Watt (W M Cumming, Turner & Watt)",Expired
