registration_number,name,status
PF000913,Triple Crown (Grove Street) Limited (Fountain Court Apartments),Expired
PF000638,Troon Property Factoring Services Ltd,Active
PF000333,Trust Housing Association Ltd,Active
PF001059,Tyninghame Gardens Ltd,Active
PF000586,UGIE Construction and Property Services,Expired
PF001061,Urban Property (Scotland) Ltd,Active
PF000841,Urban Real Estate (Group) Ltd (URE Property Management),Expired
PF000668,Utopia Factoring,Expired
PF000758,Vanilla Homes Property Management Limited,Expired
PF000364,Viewpoint Housing Association Limited,Active
PF000726,Viewpoint Management Ltd,Expired
PF000267,Vista Properties and Development Ltd,Expired
PF000659,Vista Properties and Development Ltd,Active
PF000164,Walker Sandford Property Management Limited,Active
PF000404,Wanrobe Investments Limited,Active
PF000104,Watt & Co Property Management,Expired
PF000271,Waverley Housing,Active
PF001002,Waverley Property Maintenance Limited,Active
PF000457,Waverley Property Maintenance Ltd,Expired
PF000774,WE ARE PROPERTY FACTORS LIMITED,Expired
PF000109,Wellhouse Housing Association Ltd,Active
PF000247,Weslo Housing Management,Expired
PF000671,Weslo Initiatives Limited  (Weslo Property Management),Expired
PF000334,West Dunbartonshire Council,Active
PF000933,West End Concept Ltd,Active
PF000101,West Highland Housing Association Ltd,Active
PF001153,West Homes Property Management Ltd,Active
PF000711,West Lothian Council,Active
PF000278,West of Scotland Housing Association Ltd,Expired
PF000747,West of Scotland Property Management Limited,Expired
PF000413,West One Properties (UK) Ltd,Expired
PF000641,West One Property Management & Factoring Ltd,Active
PF000280,West Property Sales & Lettings,Expired
PF000910,Westburn Services Ltd,Active
PF001008,Westscot Living Limited,Active
PF000378,Wheatley Homes East Limited,Active
PF000287,Wheatley Homes Glasgow Limited,Active
PF000358,Wheatley Homes South Limited,Active
PF001124,Wider Role Solutions Limited,Active
PF000916,Wider Role Solutions Limited (The New Factor),Expired
PF000216,Williamsburgh Housing Association Ltd,Active
PF000137,Wilton Factoring,Expired
PF000434,Winning Quadrant Owners and Residents Association,Expired
PF000174,Wishaw & District Housing Association Limited,Expired
PF000097,WS Property Management Limited,Active
PF000935,Xenia Estates Ltd,Active
PF001141,xFactors Ltd,Active
PF000447,YI Properties,Expired
PF000335,Yoker Housing Association Ltd,Active
PF000220,Yorkhill Housing Association Ltd,Active
PF000409,Your Local Factor Limited,Active
PF000684,YourLife Management Services Limited,Active
PF000212,Yourplace Property Management Limited,Expired
