registration_number,name,trading_name,trading_type,address,city,postcode,website,property_count,status,tribunal_total_cases,tribunal_negative_outcomes,tribunal_positive_outcomes,tribunal_neutral_outcomes,tribunal_pfeo_issued,tribunal_pfeo_proposed,tribunal_pfeo_resolved,tribunal_pfeo_unresolved,tribunal_pfeo_pending,tribunal_complied,tribunal_failure_to_comply,tribunal_dismissed,tribunal_rejected,tribunal_withdrawn,tribunal_other_outcomes,tribunal_upper_tribunal_appeals,tribunal_section_1_violations,tribunal_section_2_violations,tribunal_section_3_violations,tribunal_section_4_violations,tribunal_section_5_violations,tribunal_section_6_violations,tribunal_section_7_violations,tribunal_pf_duty_violations,tribunal_earliest_case,tribunal_latest_case,tribunal_case_refs
PF000210,Cunninghame Housing Association Limited,Cunninghame Housing Association Limited,Registered Social Landlord,"Quayside Offices, Marina Quay, Dock Road, Ardrossan, KA22 8DA",Quayside Offices,KA22 8DA,https://www.cunninghame-housing.org,436,Registered,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,2018-03-06,2018-03-06,FTS/HPC/PF/17/0381
PF000126,Cunninghame Properties Ltd,Cunninghame Properties Ltd,Company,"Cunninghame Properties, 22 Chapewell Street, Saltcoats, KA21 5EA",Cunninghame Properties,KA21 5EA,,0,Registration expired on 15/04/2019,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000326,Currie Property Management Ltd,Currie Property Management Ltd,Company,"19 Queen Mary Avenue, Glasgow, G42 8DS",Glasgow,G42 8DS,,0,Registration expired on 08/12/2015,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000694,Cutler & Stag Ltd,Cutler & Stag Ltd,Company,"1 Orchard Place, Edinburgh, EH4 2ET",Edinburgh,EH4 2ET,,0,Registration expired on 26/09/2018,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF001150,CVO Ltd,CVO Ltd,Company,"29 St James Avenue, East Kilbride, G74 5QD",East Kilbride,G74 5QD,,0,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000114,D & I Scott Property Management,D & I Scott Property Management,Partnership,"1 Carment Drive, Shawlands, Glasgow, G41 3PP",Shawlands,G41 3PP,,2401,Registered,7,6,1,0,1,1,1,0,2,1,0,0,0,0,4,1,1,1,1,1,0,2,0,6,2015-07-30,2023-03-21,FTS/HPC/PF/22/2730 | FTS/HPC/PF/17/0064 | HOHP/PF/16/0153 | FTS/HPC/PF/16/1016 | FTS/HPC/PF/16/1016 | FTS/HPC/PF/16/1016 | HOHP/PF/14/0112
PF000336,D&R Lorne Brown t/a Allied Surveyors Scotland plc,D&R Lorne Brown t/a Allied Surveyors Scotland plc,Company,"21 Church Street, Haddington, EH41 3EX",Haddington,EH41 3EX,,0,Registration expired on 14/12/2015,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000397,Dalmuir Park Housing Association Limited,Dalmuir Park Housing Association Limited,Registered Social Landlord,"631 Dumbarton Road, Dalmuir, Clydebank, G81 4EU",Dalmuir,G81 4EU,https://www.dpha.org,513,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000722,Dalriada Property Services,Dalriada Property Services,Partnership,"The Paddock, Langton Farm, Stewarton Road, Newton Mearns, G77 6PU",The Paddock,G77 6PU,,0,Registration expired on 12/10/2020,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000577,David Morris trading as 12BC Property Management,David Morris trading as 12BC Property Management,Sole Trader,"12B Bruntsfield Crescent, Edinburgh, EH10 4EZ",Edinburgh,EH10 4EZ,,0,Registration expired on 24/01/2018,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000514,David Morrison,David Morrison,Sole Trader,"4 Charles Street, Stirling, FK8 2HQ",Stirling,FK8 2HQ,,0,Registration expired on 13/02/2017,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000546,David Robin Wardhaugh,Property Management,Sole Trader,"45 Dunnichen Road, Kingsmuir, Forfar, DD8 2RQ",Kingsmuir,DD8 2RQ,,18,Registered,48,35,12,1,4,10,4,10,11,4,7,1,7,0,15,0,7,10,7,3,3,8,7,12,2014-03-12,2025-12-02,FTS/HPC/PF/24/1449 | FTS/HPC/PF/23/3590 | FTS/HPC/PF/25/2524 | FTS/HPC/LA/25/2564 | FTS/HPC/PF/25/0097 | FTS/HPC/PF/23/2851 | FTS/HPC/PF/23/2852 | FTS/HPC/PF/23/2851 | FTS/HPC/PF/23/2852 | FTS/HPC/PF/23/2945 | FTS/HPC/PF/23/2978 | FTS/HPC/PF/23/2680 | FTS/HPC/PF/23/4430 | FTS/HPC/PF/23/1217 | FTS/HPC/LM/23/1712 | FTS/HPC/PF/23/2376 | FTS/HPC/LM/23/0214 | FTS/HPC/PF/22/2960 | FTS/HPC/PF/22/1049 | FTS/HPC/LM/23/0962 | FTS/HPC/PF/21/2237 | FTS/HPC/PF/20/1535 | FTS/HPC/PF/20/1655 | FTS/HPC/PF/20/1618 | Our Ref: FTS/HPC/LA/20/2102 | FTS/HPC/PF/20/0120 | FTS/HPC/PF/20/0085 | FTS/HPC/PF/20/1372 | FTS/HPC/PF/19/4097 | FTS/HPC/PF/19/2628 | FTS/HPC/PF/18/2228 | HOHP/PF/16/0163 | HOHP/PF/16/0173 | HOHP-PF-16-0025 | HOHP/PF/13/0270 | HOHP/PF/13/0061 | FTS/HPC/LM/20/2371 | FTS/HPC/PF/20/1392 | FTS/HPC/PF/21/0078 | FTS/HPC/PF/21/0213 | FTS/HPC/PF/22/1586
PF000374,Davidson & Robertson Limited,Davidson & Robertson Limited,Company,"Rural Centre, West Mains, Ingliston, Edinburgh, EH28 8LT",Rural Centre,EH28 8LT,https://www.drrural.co.uk,2,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000734,Denise Baykal,Moncreiffe Property,Sole Trader,"2 Kintillo Gardens, Bridge of Earn, Perth, PH2 9BA",Bridge of Earn,PH2 9BA,,18,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000554,Direct Lettings (Scotland) Ltd,Direct Lettings (Scotland) Ltd,Company,"110 Commercial Street, Dundee, DD1 2AJ",Dundee,DD1 2AJ,https://www.dlscotland.com,64,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF001015,DJM Property Services & Contracts Ltd,DJM Property Services & Contracts Ltd,Company,"Unit 1, 4 Cunningham Road, Stirling, FK7 7SW",Stirling,FK7 7SW,https://www.djm.scot,40,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000967,Donald Ross Morrison,Morrison Property Management,Sole Trader,"18 Redburn, Stornoway, HS1 2UU",Stornoway,HS1 2UU,,0,Registration expired on 15/07/2025,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000770,Donald Ross Residential Factoring Limited,Donald Ross Residential Factoring Limited,Company,"1 Beresford Terrace, Ayr, KA7 2ER",Ayr,KA7 2ER,,0,Registration expired on 17/05/2021,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000687,DONALD ROSS RESIDENTIAL KILMARNOCK LTD,DONALD ROSS RESIDENTIAL KILMARNOCK LTD,Company,"30 MILLER ROAD, AYR, KA7 2AY",Ayr,KA7 2AY,,0,Registration expired on 09/09/2019,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000490,Douglas J Duncan Building Consultant,Douglas J Duncan Building Consultant,Sole Trader,"46 Riverside Drive, N/A, N/A, Stonehaven, AB39 2GP",N/A,AB39 2GP,,0,Registration expired on 24/10/2016,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000718,Duffield Morgan Limited,Duffield Morgan Limited,Company,"Rowallan Castle, Kilmaurs, Waterside, Kilmarnock, KA3 2LP",Rowallan Castle,KA3 2LP,https://www.rowallancastle.com,14,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000131,Dumfries and Galloway Homes Limited,Dumfries and Galloway Homes Limited,Company,"7 Gifhorn House, Shakespeare Street, Dumfries, DG1 2JB",Shakespeare Street,DG1 2JB,https://www.loreburn.org.uk,28,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000313,Dunbritton Housing Association Limited,Dunbritton Housing Association Limited,Registered Social Landlord,"1 Hatters Lane, Dumbarton, G82 1AW",Dumbarton,G82 1AW,https://dunbritton.org.uk/,355,Registered,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2015-02-02,2015-02-02,HOHP/PF/14/0106
PF000176,Dundee City Council,Dundee City Council,Local Authority,"5 City Square, Dundee, DD1 3BA",Dundee,DD1 3BA,https://www.dundeecity.gov.uk,7638,Registered,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2023-09-13,2023-09-13,FTS/HPC/PF/23/2030 | FTS/HPC/PF/23/2031
PF000372,Dunedin Canmore Enterprise Limited (Removed),Dunedin Canmore Enterprise Limited (Removed),Other Legal Status,"8 New Mart Road, Edinburgh, EH14 1RL",Edinburgh,EH14 1RL,,0,Registration expired on 27/07/2021,3,3,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2015-03-13,2016-09-29,HOHP/PF/16/0032 | HOHP/PF/15/0101 | HOHP/PF/14/0118
PF000509,E D Construction Ltd,E D Construction Ltd,Company,"10/ 54 Partick Bridge Street, Glasgow, Glasgow, G11 6PQ",Glasgow,G11 6PQ,,0,Registration expired on 17/01/2017,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000382,East Ayrshire Council,East Ayrshire Council,Local Authority,"London Road, Kilmarnock, KA3 7BU",London Road,KA3 7BU,https://www.east-ayrshire.gov.uk/Home.aspx,1437,Registered,3,2,0,1,1,1,0,0,2,0,0,0,0,0,1,0,0,3,3,0,0,3,3,3,2017-01-12,2017-07-24,HOHP/PF/16/0123 | hohp.pf.16.0123 | HOHP/PF/16/0123
PF000375,East Dunbartonshire Council,East Dunbartonshire Council,Local Authority,"Streetscene Technical Support, Neighbourhood Services, 12 Strathkelvin Place, Kirkintilloch, G66 1TJ",Streetscene Technical Support,G66 1TJ,,0,Registration expired on 30/06/2025,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000229,East Kilbride and District Housing Association Ltd,East Kilbride and District Housing Association Ltd,Registered Social Landlord,"2 Old Coach Road, East Kilbride, G74 4DP",East Kilbride,G74 4DP,https://www.ekdha.co.uk,0,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000386,East Lothian Housing Association Ltd,East Lothian Housing Association Ltd,Registered Social Landlord,"18-20 Market Street, Haddington, EH41 3JL",Haddington,EH41 3JL,https://www.elha.com,69,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000598,East Lothian Property Management Ltd t/a ELPM,East Lothian Property Management Ltd t/a ELPM,Company,"Linksfield Office, Aberlady, Aberlady, EH32 0SB",Linksfield Office,EH32 0SB,,0,Registration expired on 05/06/2018,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000343,East Renfrewshire Council,East Renfrewshire Council,Local Authority,"Council Headquarters, Eastwood Park, Rouken Glen Road, Giffnock, G46 6UG",Council Headquarters,G46 6UG,https://www.eastrenfrewshire.gov.uk,1816,Registered,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-17,2021-09-17,FTS/HPC/PF/21/0183 & FTS/HPC/LM/21/0786
PF000393,Easthall Park Housing Association Limited,Easthall Park Housing Association Limited,Registered Social Landlord,"Glenburn Centre, 6 Glenburnie Place, Easthall, Glasgow, G34 9AN",Glenburn Centre,G34 9AN,https://www.easthallpark.org.uk,54,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000915,Ebury Management Limited,Ebury Management Limited,Company,"2 Upper Tachbrook Street, London, SW1V 1SH",London,SW1V 1SH,,0,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000823,Eddie Uriarte,Rozelle Letting Services,Sole Trader,"1 Wellpark, Ayr, KA7 4QA",Ayr,KA7 4QA,,0,Registration expired on 31/05/2022,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000725,Edinburgh Block Management Ltd,Edinburgh Block Management,Company,"25 Nicolson Square, Edinburgh, EH8 9BX",Edinburgh,EH8 9BX,https://www.edinburghblockmanagement.com,944,Registered,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,,,FTS/HPC/PF/23/2533
PF000572,Edinburgh Commercial Property Limited,Edinburgh Commercial Property Limited,Company,"29 Beaverhall Road, Edinburgh, EH7 4JE",Edinburgh,EH7 4JE,,0,Registration expired on 10/06/2024,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000571,Edinburgh Property Rental Limited,Edinburgh Property Rental Limited,Company,"113 St John's Road, Edinburgh, EH12 7SB",Edinburgh,EH12 7SB,,0,Registration expired on 22/01/2018,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000796,Edwin Thompson LLP,Edwin Thompson LLP,Partnership,"28 St John's Street, Keswick, CA12 5AF",Keswick,CA12 5AF,https://www.edwinthompson.co.uk,240,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000159,Edzell Property Services LLP t/a Edzell Property,Edzell Property Services LLP t/a Edzell Property,Other Legal Status,"1008 Pollokshaws Road, Shawlands, Glasgow, Glasgow, G41 2HG",Shawlands,G41 2HG,,0,Registration expired on 30/09/2019,5,5,0,0,2,2,0,1,4,0,1,0,0,0,0,0,0,3,0,0,2,4,2,3,2016-11-25,2017-11-17,FTS/HPC/PF/17/0116 | HOHP/PF/16/0158 | HOHP/PF/16/0158 | HOHP/PF/16/0103 | HOHP/PF/16/0103
PF000525,effectiv Facilities Management Limited,effectiv Facilities Management Limited,Company,"Suite K2, Woodburn House, 5, Golden Square, Aberdeen, AB10 1RD",Woodburn House,AB10 1RD,,0,Registration expired on 16/03/2020,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000947,Eglinton Ashley Land and Property Management Ltd,Eglinton Ashley Land and Property Management Ltd,Company,"28 Bank Street, Irvine, KA12 0AD",Irvine,KA12 0AD,,0,Registration expired on 18/12/2024,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000205,Eildon Housing Association Ltd,Eildon Housing Association Ltd,Registered Social Landlord,"The Weaving Shed, Ettrick Mill, Dunsdale Road, Selkirk, TD7 5EB",The Weaving Shed,TD7 5EB,https://www.eildon.org.uk,43,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000197,Elderpark Housing Association Limited,Elderpark Housing Association Limited,Registered Social Landlord,"65 Golspie Street, Govan, Glasgow, G51 3EW",Govan,G51 3EW,https://www.elderpark.org,844,Registered,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2018-12-04,2018-12-04,FTS/HPC/PF/18/1952
PF000844,Empardio Limited,Monteith Property Factors,Company,"32 Stirling Road, Callander, FK17 8DD",Stirling,FK17 8DD,https://www.empardio.com,0,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000742,Errlwood Ltd,Errlwood Ltd,Company,"124 King Street, Broughty Ferry, Dundee, DD5 1EW",Broughty Ferry,DD5 1EW,,0,Registration expired on 25/01/2021,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000930,Ethica Management Services Ltd,Ethica Property Management,Company,"35 West Graham Street, Glasgow, Glasgow, G4 9LJ",Glasgow,G4 9LJ,,0,Registration expired on 28/05/2024,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000768,ETHICA PM LTD,ETHICA PM LTD,Company,"35 West Graham Street, Glasgow, G4 9LJ",Glasgow,G4 9LJ,,0,Registration expired on 02/06/2021,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000941,Ethical Factors Ltd,Ethical Factors,Company,"0/1 15 Elizabeth Street, Glasgow, G51 1SR",Glasgow,G51 1SR,,0,Registration expired on 18/12/2024,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000158,Ethical Maintenance C.I.C,Ethical Maintenance C.I.C,Company,"e-Centre, Cooperage Way, Alloa, FK10 3LP",e-Centre,FK10 3LP,https://www.ethicalmaintenance.org,1214,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000552,Etimon Limited,Etimon Limited,Company,"Trident House, 175 Renfrew Road, Paisley, PA3 4EF",Trident House,PA3 4EF,,0,Registration expired on 06/12/2022,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000582,Eunice Cameron T/A Orchard Arts and Antiques,Eunice Cameron T/A Orchard Arts and Antiques,Sole Trader,"Orchard Croft, West Port, Dysart, KY12TD",Orchard Croft,KY12TD,,0,Registration expired on 18/03/2021,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000265,F G Burnett Ltd,F G Burnett Ltd,Company,"33 Albyn Place, Aberdeen, AB10 1YL",Aberdeen,AB10 1YL,,0,Registration expired on 15/06/2022,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000809,Facilities Management Scotland Limited,Facilities Management Scotland Limited,Company,"Barony Castle Hotel, Eddleston, EH45 8QW",Barony Castle Hotel,EH45 8QW,,14,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000309,Factor4You,Factor4You,Sole Trader,"Suite 10, River court, 5 West Victoria Dock Road, Dundee, DD1 3JT",Dundee,DD1 3JT,,0,Registration expired on 11/01/2016,3,3,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,2014-08-27,2016-05-03,HOHP/PF/15/0135 | HOHP/PF/14/0196 | HOHP/PF/14/0006
PF000654,Factor8 Ltd,Factor8 Ltd,Company,"The Annex, Glenafton House, 38 Penicuik Road, Roslin, EH25 9LH",The Annex,EH25 9LH,,0,Registration expired on 15/03/2019,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF001012,Factors Direct Limited,Factors Direct Limited,Company,"Abercorn House, 79 Renfrew Road, Paisley, PA3 4DA",Abercorn House,PA3 4DA,,449,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000406,Factotum (Scotland) Ltd,Factotum (Scotland) Ltd,Company,"63 Dublin Street, Edinburgh, EH3 6NS",Edinburgh,EH3 6NS,https://www.factotum.co.uk,82,Registered,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,2018-05-24,2018-05-24,FTS/HPC/PF/18/0132
PF000310,Faifley Housing Association Limited,Faifley Housing Association Limited,Registered Social Landlord,"Skypoint, Lennox Drive, Faifley, Clydebank, G81 5JY",Skypoint,G81 5JY,,0,Registration expired on 29/06/2022,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000352,Fair-A-Far Management Ltd,Fair-A-Far Management Ltd,Company,"4 Atholl Place, Edinburgh, EH3 8HT",Edinburgh,EH3 8HT,,0,Registration expired on 08/12/2015,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000574,fairpricefactorfees,fairpricefactorfees,Sole Trader,"Evans Easy Space, Unit 30, Easter Inch, Bathgate, EH48 2EH",Evans Easy Space,EH48 2EH,,0,Registration expired on 28/05/2019,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000365,Falkirk Council,Falkirk Council,Local Authority,"The Foundry, 4 Central Boulevard, Larbert, FK5 4RU",The Foundry,FK5 4RU,https://www.falkirk.gov.uk,865,Registered,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2014-04-04,2016-01-29,HOHP/PF/15/0052 | HOHP/PF/13/0250
PF000150,FBR Ltd,FBR Ltd,Company,"FBR Ltd, Abbey Row, Kelso, TD5 7JF",FBR Ltd,TD5 7JF,,0,Registration expired on 15/06/2022,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000832,FBR Seed Limited,FBR Seed Limited,Company,"Rose Lane, Kelso, TD5 7AP",Rose Lane,TD5 7AP,,100,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000315,FENWICK PROPERTY,FENWICK PROPERTY,Company,"BEAUMONT HOUSE, 15 ST JOHNS PLACE, PERTH, PH1 5SZ",BEAUMONT HOUSE,PH1 5SZ,,0,Registration expired on 08/12/2015,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000583,Fidra Lettings Ltd,Fidra Lettings Ltd,Company,"6 High St, Fidra, Gifford, EH41 4QU",Fidra,EH41 4QU,,0,Registration expired on 03/08/2021,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000361,Fife Council,Fife Council,Local Authority,"3rd Floor,, Rothesay House, Rothesay Place, Glenrothes, KY7 5PQ",Rothesay House,KY7 5PQ,https://www.fifedirect.org.uk,2095,Registered,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,,,FTS/HPC/PF/24/3753
PF000142,Fife Housing Association Limited,Fife Housing Association Limited,Registered Social Landlord,"7 Pitreavie Court, Pitreavie Business Park, Dunfermline, KY11 8UU",Pitreavie Business Park,KY11 8UU,https://fifehg.org.uk,299,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000542,Finlayson Facilities Management Ltd,Finlayson Facilities Management Ltd,Company,"5/9 Western Harbour View, Edinburgh, EH6 6PF",Edinburgh,EH6 6PF,,0,Registration expired on 24/07/2017,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000904,Fior Asset and Property Limited,Fior Asset and Property,Company,"Capital Business Centre, CBC House, 24 Canning Street, Edinburgh, EH3 8EG",Capital Business Centre,EH3 8EG,https://www.fiorassetandproperty.com,398,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000387,First Stop Properties Limited,First Stop Properties Limited,Company,"37 Cadzow Street, Hamilton, ML3 6EE",Hamilton,ML3 6EE,,0,Registration expired on 22/07/2019,9,8,1,0,0,2,1,0,2,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2014-05-27,2015-07-09,HOHP/PF/14/0140 | HOHP/PF/14/0142 | HOHP/PF/14/0143 | HOHP/PF/14/0135 | HOHP/PF/14/0136 | HOHP/PF/14/0139 | HOHP/PF/14/0146 | HOHP/PF/14/0149 | HOHP/PF/13/0295
PF000211,FIRSTPORT PROPERTY SERVICES NO.17 LIMITED,SGPM Part of FirstPort group,Company,"Clockwise, 77 Renfrew Street, Glasgow, G2 3BZ",Clockwise,G2 3BZ,https://www.sgpropertymanagement.co.uk/,9851,Registered,4,0,3,1,0,0,2,0,0,2,0,0,1,0,1,0,1,3,0,2,0,2,2,1,2019-11-08,2024-11-12,FTS/HPC/PF/24/3234 | FTS/HPC/LM/23/0158 | FTS/HPC/LM/23/0159 | FTS/HPC/LM/23/0158+0159 | FTS/HPC/LM/19/1850
PF000095,FirstPort Property Services Scotland Limited,Firstport Property Services Scotland,Company,"77 Renfrew Street, Greenock, G2 3BZ",Greenock,G2 3BZ,https://www.firstport.co.uk/,9572,Registered,37,22,14,1,1,7,7,5,8,7,5,0,7,0,10,0,6,10,10,9,6,10,5,13,2015-06-11,2024-12-10,"FTS/HPC/PF/24/2715 | FTS/HPC/PF/24/1658 | FTS/HPC/PF/23/4104 | FTS/HPC/LM/23/3665 | FTS/HPC/PF/22/3985 | FTS/HPC/PF/23/0884 | FTS/HPC/PF/23/0885 | FTS/HPC/PF/23/0888 | FTS/HPC/PF/23/0889 | FTS/HPC/PF/23/0890 | FTS/HPC/PF/23/0891 | FTS/HPC/PF/23/1203 | FTS/HPC/PF/23/3593 | FTS/HPC/PF/23/3720 | FTS/HPC/PF/23/2211 | FTS/HPC/PF/22/3985 + 7 others | FTS/HPC/PF/22/3888 | FTS/HPC/PF/22/0721 | FTS/HPC/PF/22/1317 | FTS/HPC/PF/22/0929 | FTS/HPC/PF/21/0602 | FTS/HPC/PF/21/0603 + others | FTS/HPC/PF/21/1125 | FTS/HPC/PF/20/1983 | FTS/HPC/PF/21/0604  + 11 others Kyle Court | FTS/HPC/PF/20/2597 | FTS/HPC/PF/20/2213, FTS/HPC/PF/20/2109, FTS/HPC/PF/20/2156 | FTS/HPC/PF/19/3373 | FTS/HPC/PF/19/0216 | FTS/HPC/PF/18/2318 | FTS/HPC/PF/18/0796; 0797-0799; 0801-0809 | FTS/HPC/PF/18/0822 | FTS/HPC/PF/18/0282 | FTS/HPC/PF/17/0089 | FTS/HPC/LM/17/0096 | FTS/HPC/PF/17/0094 | FTS/HPC/PF/17/0087 | HOHP/PF/16/0170 | HOHP/PF/16/0125 | HOHP/PF/16/0125 | HOHP/PF/15/0138 | HOHP/PF/15/0020 | FTS/HPC/PF/20/2626 | FTS/HPC/PF/21/0968 | FTS/HPC/PF/21/2803"
PF000789,FJL Property Management Ltd,FJL Property Management Ltd,Company,"6/3, Wolseley Terrace, Edinburgh, EH8 7AB",Wolseley Terrace,EH8 7AB,,0,Registration expired on 12/10/2021,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF001037,FLATM8 Ltd,FLATM8,Company,"505 Great Western Road, Glasgow, G12 8HN",Glasgow,G12 8HN,,0,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000511,Fleming House Factors Limited,Fleming House Factors Limited,Company,"Fleming House, 134 Renfrew Street, Glasgow, G3 6ST",Fleming House,G3 6ST,,69,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
